,date,private,foreign,institution
0,17-02-21,18107,-4815,-13465
1,16-02-21,4226,2416,-6685
2,15-02-21,-3526,7317,-4193
3,10-02-21,1302,7520,-9166
4,09-02-21,487,-2223,1568
5,08-02-21,847,-3584,2805
6,05-02-21,-4021,1900,2343
7,04-02-21,24704,-6394,-18357
8,03-02-21,1239,4265,-5740
9,02-02-21,-1883,1966,-131
10,01-02-21,-7825,1319,6892
11,29-01-21,16971,-14220,-2544
12,28-01-21,19294,-15670,-3794
13,27-01-21,10604,-6216,-3961
14,26-01-21,42050,-19699,-22520
15,25-01-21,-5712,2793,3688
16,22-01-21,16083,-2680,-13648
17,21-01-21,-625,3683,-2927
18,20-01-21,14368,-2368,-12345
19,19-01-21,-10254,4100,5940
20,18-01-21,5143,-2094,-2789
21,15-01-21,21139,-7536,-14147
22,14-01-21,7127,6775,-14290
23,13-01-21,1691,1935,-3725
24,12-01-21,23124,-6189,-17239
25,11-01-21,44921,-7176,-37432
26,08-01-21,-5591,16435,-11479
27,07-01-21,-11836,1134,10339
28,06-01-21,17293,-3975,-13692
29,05-01-21,7284,-2082,-5363
30,04-01-21,10310,897,-11899
31,30-12-20,-4916,2458,1959
32,29-12-20,21969,-3106,-19734
33,28-12-20,-9460,780,8303
34,24-12-20,-8031,1192,6297
35,23-12-20,-3859,829,3017
36,22-12-20,3694,-1696,-2029
37,21-12-20,-855,-107,1322
38,18-12-20,3898,-1918,-1497
39,17-12-20,3252,-2584,-107
40,16-12-20,-2403,934,2127
41,15-12-20,6077,-3736,-2375
42,14-12-20,10334,-3589,-7033
43,11-12-20,-477,-1627,2101
44,10-12-20,8913,-13636,4441
45,09-12-20,-5062,1626,3058
46,08-12-20,11228,-8450,-2701
47,07-12-20,9768,-629,-9237
48,04-12-20,-3432,7610,-4101
49,03-12-20,1780,2097,-3849
50,02-12-20,-2447,5176,-2507
51,01-12-20,-3461,735,2676
52,30-11-20,22206,-24278,2048
53,27-11-20,1945,785,-2794
54,26-11-20,2569,2539,-5188
55,25-11-20,5062,-369,-4001
56,24-11-20,-245,7263,-6941
57,23-11-20,-8735,9834,-600
58,20-11-20,1216,1039,-2264
59,19-11-20,2017,1063,-3016
60,18-11-20,-1268,676,780
61,17-11-20,1531,3575,-5038
62,16-11-20,-1539,4617,-2856
63,13-11-20,-5896,5215,948
64,12-11-20,3537,4912,-8608
65,11-11-20,-11907,8162,4019
66,10-11-20,1872,1567,-3283
67,09-11-20,-6789,3291,3564
68,06-11-20,-7975,7907,-44
69,05-11-20,-16218,11349,4862
70,04-11-20,-1661,-2180,3427
71,03-11-20,-6472,2138,4694
72,02-11-20,-1086,507,487
73,30-10-20,14140,-9780,-4438
74,29-10-20,9814,-5377,-4755
75,28-10-20,1532,133,-1767
76,27-10-20,1069,1046,-2497
77,26-10-20,-1127,-1437,2718
78,23-10-20,-2723,388,2334
79,22-10-20,679,-734,76
80,21-10-20,-1283,-246,1426
81,20-10-20,-2925,437,2605
82,19-10-20,-3424,344,2968
83,16-10-20,4892,-1710,-2036
84,15-10-20,3282,-184,-1169
85,14-10-20,4128,-345,-3757
86,13-10-20,-332,2137,-1774
87,12-10-20,-2360,1392,845
88,08-10-20,-1659,7604,-6150
89,07-10-20,-3460,-953,4302
90,06-10-20,-2045,1726,198
91,05-10-20,-5500,1740,3852
92,29-09-20,-1114,-736,1424
93,28-09-20,-1056,-589,1502
94,25-09-20,195,-898,728
95,24-09-20,3289,-1922,-1571
96,23-09-20,3252,-577,-2804
97,22-09-20,9913,-143,-7691
98,21-09-20,410,-783,392
99,18-09-20,-1405,1473,-158
100,17-09-20,4587,-1244,-3358
101,16-09-20,1432,1792,-3051
102,15-09-20,-765,2532,-2002
103,14-09-20,-2876,1427,1074
104,11-09-20,4533,-1498,-3110
105,10-09-20,663,3818,-4721
106,09-09-20,5129,-1116,-4298
107,08-09-20,358,-299,-209
108,07-09-20,5483,-2508,-2976
109,04-09-20,12854,-4678,-7798
110,03-09-20,-952,1939,-1351
111,02-09-20,3342,-2560,-799
112,01-09-20,2390,-2058,-566
113,31-08-20,15696,-16326,-66
114,28-08-20,1158,-2242,1225
115,27-08-20,4664,-245,-4726
116,26-08-20,1929,1910,-4125
117,25-08-20,-709,1570,-1233
118,24-08-20,-2600,1976,41
119,21-08-20,-1362,1970,-334
120,20-08-20,10739,-2728,-8214
121,19-08-20,4584,-2665,-2022
122,18-08-20,-5272,733,4761
123,14-08-20,5963,-4619,-1244
124,13-08-20,1543,-3421,1873
125,12-08-20,3509,-1538,-2025
126,11-08-20,-1737,1468,386
127,10-08-20,3523,-1278,-2315
128,07-08-20,8534,-737,-7870
129,06-08-20,-850,1638,-801
130,05-08-20,4315,-516,-3666
131,04-08-20,1844,-583,-1488
132,03-08-20,6237,-2687,-3795
133,31-07-20,4716,-556,-3861
134,30-07-20,64,2247,-2342
